trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
55,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.268515944480896,128,2,0.3,0.0001,1e-05,64,6,60,0.3785843551158905,22,42,0.6152920722961426,0.5118671655654907,0.5182080102112987,0.268515944480896
55,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.4763253927230835,128,2,0.3,0.0001,1e-05,64,6,60,0.28240567445755005,60,60,0.5314185619354248,0.4381738603115082,0.7124889732548134,0.4763253927230835
56,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.8333449959754944,64,1,0.3,0.001,0.0,32,6,60,0.17945311963558197,18,38,0.4236190617084503,0.33803337812423706,0.9437916889994616,0.8333449959754944
56,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.5734126567840576,64,1,0.3,0.001,0.0,32,6,60,0.2207830399274826,22,42,0.4698755443096161,0.3911488354206085,0.7666784692812584,0.5734126567840576
56,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.6738522052764893,64,1,0.3,0.001,0.0,32,6,60,0.17588402330875397,30,50,0.41938528418540955,0.337639182806015,0.838651348576739,0.6738522052764893
57,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.8390218019485474,256,2,0.3,0.0003,1e-05,16,12,60,0.17389646337016837,9,29,0.4170089364051819,0.3254784941673279,0.9441835217250863,0.8390218019485474
57,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.4801696538925171,256,2,0.3,0.0003,1e-05,16,12,60,0.27302802131547554,13,33,0.5225207805633545,0.4412253797054291,0.7260110053013267,0.4801696538925171
57,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.6797524690628052,256,2,0.3,0.0003,1e-05,16,12,60,0.17491294214358696,29,49,0.4182259440422058,0.33511534333229065,0.8252851760301765,0.6797524690628052
58,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.720070481300354,32,1,0.1,0.0003,1e-05,64,6,60,0.30142641067504883,60,60,0.5490231513977051,0.419320672750473,0.9197706611291762,0.720070481300354
58,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.378539502620697,32,1,0.1,0.0003,1e-05,64,6,60,0.3216409385204315,27,47,0.5671339631080627,0.4862439036369324,0.6242334547982819,0.378539502620697
