rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
215,74,val_r2,0.17419842878977457,0.2756944043460805,3,32,1,0.3,0.0003,1e-05,32,12,60
216,214,val_r2,0.17293651898701987,0.26171928882098117,3,64,1,0.5,0.0003,1e-05,64,12,60
217,159,val_r2,0.17292988300323486,0.3054941168133026,3,256,2,0.3,0.001,0.0,32,9,60
218,213,val_r2,0.1717649499575297,0.2753554628008774,3,256,2,0.3,0.0003,1e-05,16,9,60
219,7,val_r2,0.17163360118865967,0.3367781642388794,3,64,1,0.0,0.0005,0.0001,32,12,60
220,27,val_r2,0.17152108748753866,0.3053439963638527,3,256,1,0.5,0.001,1e-05,64,9,60
221,140,val_r2,0.16725160678227743,0.2627858249176112,3,128,2,0.0,0.0005,0.0001,16,12,60
222,63,val_r2,0.16716605424880981,0.21979131984776165,3,64,2,0.3,0.0005,1e-05,16,12,60
223,157,val_r2,0.16693164904912314,0.22870343295926288,3,128,2,0.5,0.0001,0.0,32,12,60
224,54,val_r2,0.16683870553970337,0.2813138949050382,3,64,2,0.1,0.001,0.0,32,9,60
225,254,val_r2,0.1660128633181254,0.22039572895614004,3,64,2,0.0,0.0001,0.0,64,9,60
226,40,val_r2,0.16544594367345175,0.17713704643874728,3,32,2,0.3,0.001,0.0,32,12,60
227,121,val_r2,0.16289267937342325,0.26118670694551016,3,64,1,0.5,0.0001,0.0001,32,12,60
228,233,val_r2,0.16214273373285928,0.3170705604735916,3,128,2,0.0,0.001,0.0,16,9,60
229,31,val_r2,0.16153893868128458,0.26188660857758833,3,64,2,0.5,0.0001,1e-05,64,12,60
230,241,val_r2,0.1600072185198466,0.1958200175754798,3,32,2,0.5,0.0003,1e-05,32,9,60
231,97,val_r2,0.1595920523007711,0.20656060659341,3,128,2,0.5,0.001,1e-05,16,12,60
232,128,val_r2,0.15792322158813477,0.35119155359425,3,64,1,0.5,0.0001,0.0001,16,9,60
233,26,val_r2,0.15541317065556845,0.23636785551307452,3,32,2,0.5,0.0003,0.0,32,9,60
234,21,val_r2,0.15264755487442017,0.2237571563121033,3,64,1,0.0,0.0001,0.0,64,9,60
235,156,val_r2,0.15080952644348145,0.251383223210455,3,32,2,0.1,0.0001,0.0,32,12,60
236,194,val_r2,0.15022651354471842,0.2475105325643787,3,128,2,0.5,0.0003,0.0001,32,12,60
237,149,val_r2,0.14835904041926065,0.21801242019574504,3,32,2,0.1,0.001,0.0001,64,12,60
238,18,val_r2,0.14829015731811523,0.30615265679028447,3,32,1,0.1,0.001,1e-05,32,12,60
239,244,val_r2,0.13521905740102133,0.2843338413131817,3,64,2,0.5,0.001,1e-05,32,12,60
240,4,val_r2,0.1338135004043579,0.34357294684285333,3,256,2,0.0,0.001,1e-05,32,9,60
241,3,val_r2,0.13216988245646158,0.13119428183862367,3,32,1,0.0,0.0001,0.0001,32,6,60
242,222,val_r2,0.1264831225077311,0.2786459903450318,3,32,1,0.3,0.0003,1e-05,32,9,60
243,10,val_r2,0.12090897560119629,0.18374685934359725,3,32,1,0.5,0.0001,1e-05,32,12,60
244,118,val_r2,0.11055207252502441,0.4333894038801891,3,256,2,0.5,0.001,0.0001,16,6,60
245,90,val_r2,0.10860820611317952,0.1693899454068329,3,32,2,0.5,0.0001,0.0001,32,6,60
246,49,val_r2,0.10677051544189453,0.12208319529203142,3,32,1,0.5,0.0001,1e-05,32,9,60
247,183,val_r2,0.10235140721003215,0.0604748842779561,3,32,2,0.1,0.0001,0.0001,64,12,60
248,81,val_r2,0.10024980703989665,0.23919881029780843,3,64,1,0.0,0.0001,0.0,64,12,60
249,79,val_r2,0.09316082795461018,0.09606816001056191,3,64,1,0.3,0.0001,0.0001,64,6,60
250,243,val_r2,0.09083187580108643,0.12652257088963564,3,64,1,0.5,0.0001,0.0,64,9,60
251,45,val_r2,0.0705106258392334,0.038335998870326064,3,32,2,0.1,0.0001,1e-05,64,6,60
252,108,val_r2,0.0589412252108256,0.4250651482049886,3,256,1,0.3,0.001,1e-05,16,9,60
253,82,val_r2,0.05103753010431925,0.1056278225157242,3,32,1,0.5,0.0001,0.0,64,12,60
254,64,val_r2,0.0365415612856547,0.09756266841244066,3,32,1,0.3,0.0001,0.0001,64,9,60
255,154,val_r2,0.030650893847147625,0.1730945913742717,3,32,1,0.1,0.0001,0.0,32,6,60
256,228,val_r2,0.01167064905166626,0.4930371483268666,3,256,1,0.1,0.001,0.0,16,12,60
