trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
32,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,125,0.7418563365936279,0.6053029894828796,0.40772093510780294,0.09941768646240234
33,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,42,0.6387553215026855,0.4943920075893402,0.5726128466932393,0.32465940713882446
33,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,119,0.6852659583091736,0.5609652400016785,0.7024580177337825,0.4778288006782532
33,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,37,0.7343519330024719,0.5948678255081177,0.4366469553279139,0.11754566431045532
34,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,26,0.6552600264549255,0.49934491515159607,0.538764733833003,0.2893085479736328
34,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,78,0.6968856453895569,0.5613818764686584,0.6950132578297837,0.45997029542922974
34,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,33,0.7370423674583435,0.5984293222427368,0.4227131560885642,0.11106765270233154
35,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,43,0.638777494430542,0.49774694442749023,0.5702317481615803,0.324612557888031
35,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,95,0.6989113688468933,0.5647366046905518,0.6830848221319763,0.45682621002197266
35,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,131,0.7461308240890503,0.6113914847373962,0.4618813805521847,0.08900970220565796
36,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.01,1.0,0.8,3.0,0.01,3.0,0.0,1.0,100,112,0.6659933924674988,0.5117290019989014,0.5171193072468022,0.26583510637283325
