trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.5027240651233174,0.7090303897857666,0.5683673620223999,0.4792829737230877,0.17735302448272705
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.39408229277512735,0.6277596950531006,0.49021434783935547,0.6197399766633325,0.3477100729942322
21,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.5573919758061382,0.7465868592262268,0.5842950344085693,0.7139062561908829,0.3801947236061096
21,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.46985442866788846,0.685459315776825,0.528049886226654,0.4869173753320572,0.23114019632339478
22,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,0.4024644739159914,0.6344009637832642,0.4949762225151062,0.5853960358051631,0.33383554220199585
22,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,0.40453230053464945,0.6360250115394592,0.5102384090423584,0.7601858471445286,0.5501756072044373
22,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,0.4667810157080677,0.6832151412963867,0.5480209589004517,0.5166308497124033,0.2361663579940796
23,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,0.4087376594543457,0.6393260359764099,0.48906955122947693,0.586488869221478,0.3234521150588989
23,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,0.501130223274231,0.7079054117202759,0.5173898339271545,0.6850189753070041,0.44275641441345215
23,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,0.46789056062698364,0.6840252876281738,0.5565797090530396,0.5058967888409105,0.23435378074645996
24,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.41886818408966064,0.6472002863883972,0.4877764880657196,0.5553794623785643,0.3066840171813965
24,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.4876745939254761,0.6983370780944824,0.5193513631820679,0.6947383305940208,0.45771855115890503
24,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,0.5085402131080627,0.71312016248703,0.5642884373664856,0.47591230073234164,0.16783547401428223
