rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
50,65,3,800,2,0.03,0.6,0.6,1.0,0.01,10.0,0.5,1.0,100,,,,,167.33333333333334,160.41058430027476,0.5482866043613707,0.09479828071466004,0.49658684607271936,0.1335929099711699,0.7035204068665202,0.10134348752710899,0.06936433927692713,0.18035435314333395,0.06936433927692713,0.18035435314333395
51,228,3,1600,3,0.03,0.6,1.0,3.0,1.0,10.0,0.0,1.0,100,,,,,169.33333333333334,161.1341745944113,0.5327102803738318,0.1081853916148619,0.49083268174525174,0.13140694769175282,0.7014128547571871,0.09951653887483895,0.06932476650912567,0.18089520907980625,0.06932476650912567,0.18089520907980625
52,252,3,1600,5,0.03,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,,,,,130.0,132.41097638287647,0.5482866043613707,0.12121542964700135,0.503180646338606,0.15428172303217053,0.7016138162417948,0.1000206992848743,0.06923886388675123,0.17673612377003245,0.06923886388675123,0.17673612377003245
53,163,3,1200,4,0.05,0.6,1.0,5.0,0.0,1.0,0.0,1.0,100,,,,,51.0,49.73932046178355,0.5545171339563862,0.10907876261689467,0.5190890992611751,0.12589462820133243,0.703832898747578,0.09482687081372355,0.06913704028514729,0.1745719919433216,0.06913704028514729,0.1745719919433216
54,226,3,1200,4,0.01,0.6,0.8,3.0,0.01,1.0,0.0,1.0,100,,,,,243.33333333333334,212.99817422274356,0.5389408099688473,0.10582733801534597,0.5012967449668174,0.12389649761611912,0.6972125996702205,0.10161242714779412,0.06882933275160381,0.19297590771235332,0.06882933275160381,0.19297590771235332
55,93,3,1600,5,0.03,0.8,0.6,5.0,1.0,3.0,0.0,1.0,50,,,,,106.66666666666667,90.13076919429655,0.5545171339563862,0.09039637463269101,0.5099394467090426,0.1172848963920002,0.6975050018551195,0.09857335049551161,0.06873612875732564,0.18517671588254533,0.06873612875732564,0.18517671588254533
56,70,3,500,2,0.05,0.6,0.8,10.0,1.0,5.0,0.1,1.0,100,,,,,70.0,69.2290882986817,0.5202492211838007,0.16443169121989593,0.4788996711420325,0.171376165121945,0.693691272642304,0.12421874890023847,0.06873092801612397,0.2012926943541823,0.06873092801612397,0.2012926943541823
57,160,3,1600,4,0.03,0.6,0.8,1.0,1.0,1.0,0.1,1.0,50,,,,,86.33333333333333,73.3045398018128,0.5295950155763239,0.09841476011795211,0.4901819733454403,0.11859719674264657,0.7022650481449166,0.1011799470042334,0.06864197741153537,0.18529297629322647,0.06864197741153537,0.18529297629322647
58,29,3,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,,,,,78.33333333333333,71.18676531178781,0.5327102803738317,0.09978577805636737,0.4827846942444351,0.12300455815244099,0.7004941247734701,0.09260974720510652,0.0685540048252841,0.1737090950368234,0.0685540048252841,0.1737090950368234
59,101,3,500,4,0.01,0.6,0.6,5.0,1.0,5.0,0.0,1.0,50,,,,,290.6666666666667,147.3280542040638,0.545171339563863,0.10692213272106238,0.5005435776097508,0.12444886549084563,0.7024105855049211,0.10338991080278272,0.068548353990872,0.1837603323396865,0.068548353990872,0.1837603323396865
