trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
36,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,2,0.2,0.001,0.0,32,9,60,1.0492842197418213,6,26,0.5128205128205128,0.40867239019534657,0.7193685888858652,0.08589950677381741
37,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,2,0.4,0.001,0.0,32,9,60,0.8606503009796143,5,25,0.6153846153846154,0.48099027409372236,0.8739953938284019,0.21933471211918165
37,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,128,2,0.4,0.001,0.0,32,9,60,1.041235327720642,2,22,0.5512820512820513,0.23691460055096417,0.5212062386033763,-0.05680886457907386
37,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,2,0.4,0.001,0.0,32,9,60,1.046326994895935,2,22,0.44871794871794873,0.21406727828746178,0.6441973440944886,0.021967859162224546
38,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,2,0.0,0.001,0.0001,32,6,60,0.7284587621688843,24,44,0.6282051282051282,0.4848616543531798,0.879097873703194,0.31961381241412024
38,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,2,0.0,0.001,0.0001,32,6,60,0.9594372510910034,20,40,0.5,0.4542160137665756,0.6955279481321148,0.026468969651762375
38,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,2,0.0,0.001,0.0001,32,6,60,1.036853313446045,11,31,0.5316455696202531,0.3571492284363571,0.7325212368789171,0.1177980491088837
39,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,128,1,0.4,0.0003,0.0001,32,6,60,0.7555301785469055,18,38,0.6153846153846154,0.47533828022697516,0.8663962953430918,0.28850859370741133
39,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,128,1,0.4,0.0003,0.0001,32,6,60,1.0501844882965088,8,28,0.5,0.23214285714285712,0.5850468975468975,-0.06203283922392555
39,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,128,1,0.4,0.0003,0.0001,32,6,60,1.0151787996292114,11,31,0.5443037974683544,0.36634304207119744,0.6922283287628354,0.08060613186174248
40,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,64,1,0.2,0.001,0.0001,16,6,60,0.7010827278479551,7,27,0.6794871794871795,0.6140263201732467,0.8937678266322563,0.3465073665411972
40,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,64,1,0.2,0.001,0.0001,16,6,60,1.0460691146361523,3,23,0.46153846153846156,0.41152263374485604,0.615511513949014,-0.05937473475844035
40,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,64,1,0.2,0.001,0.0001,16,6,60,1.0621804119665412,3,23,0.4050632911392405,0.2935997040325564,0.6048504765767538,0.010927036551207303
41,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,2,0.0,0.001,0.0001,16,9,60,0.8110063167718741,12,32,0.7051282051282052,0.6917753150803998,0.8360205722372281,0.3090491908615305
